dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),alpha,init,l1_ratio,num_topics
dataset_name,RF,LCB,0,95.49420213699341,0.45147029620066803,0.45244943443960084,0.005034337061568453,0.5,nndsvdar,1.0,40
dataset_name,RF,LCB,1,122.44096374511719,0.45796905121382,0.4552989862080681,0.004297510422594379,0.5,nndsvda,1.0,40
dataset_name,RF,LCB,2,9.793132543563843,0.5396976459946762,0.5396976459946762,0.0,1.0,random,0.75,40
dataset_name,RF,LCB,3,36.17273807525635,0.6497877714457979,0.6500913917201577,0.004087387079293588,0.5,nndsvdar,0.25,40
dataset_name,RF,LCB,4,172.92324018478394,0.7403403588841542,0.7415007821590416,0.007699587905232692,0.0,nndsvdar,0.0,40
dataset_name,RF,LCB,5,209.7657482624054,0.7472074719245004,0.7505056796966714,0.012794314664171021,0.0,nndsvda,0.75,40
dataset_name,RF,LCB,6,107.05864453315735,0.6710039843423612,0.6718150019267237,0.003401606760959508,0.25,nndsvda,0.5,40
dataset_name,RF,LCB,7,216.93367457389832,0.7530462740589954,0.7511575510327594,0.005322511509037411,0.0,nndsvda,1.0,40
dataset_name,RF,LCB,8,24.438113927841187,0.5396976459946762,0.5396976459946762,0.0,0.5,random,0.5,40
dataset_name,RF,LCB,9,209.9771683216095,0.7542562782102843,0.7559341456547066,0.004626496557614007,0.0,random,1.0,40
dataset_name,RF,LCB,10,279.00630283355713,0.7449049075869283,0.7498065733098764,0.008944508490448769,0.0,nndsvdar,1.0,40
dataset_name,RF,LCB,11,41.397761821746826,0.5396976459946762,0.5396976459946762,0.0,0.75,random,0.25,40
dataset_name,RF,LCB,12,93.83921265602112,0.5428405200611774,0.5428405200611774,0.0,0.75,nndsvdar,0.5,40
dataset_name,RF,LCB,13,44.88211131095886,0.5396976459946762,0.5396976459946762,0.0,0.25,random,0.75,40
dataset_name,RF,LCB,14,245.05646896362305,0.7512299578018151,0.7555629930498104,0.015041595230089947,0.0,random,0.75,40
dataset_name,RF,LCB,15,278.48958253860474,0.754753942700552,0.7498735406372732,0.008112832527603277,0.25,nndsvda,0.0,40
dataset_name,RF,LCB,16,25.100764274597168,0.5396976459946762,0.5396976459946762,0.0,0.75,random,0.5,40
dataset_name,RF,LCB,17,94.11974811553955,0.565939012068851,0.5697161734326195,0.007255987523571637,0.25,nndsvd,0.75,40
dataset_name,RF,LCB,18,193.61189365386963,0.7470809054524233,0.7474281373449865,0.011945405016206698,0.0,nndsvd,0.5,40
dataset_name,RF,LCB,19,95.40859937667847,0.4557530895686364,0.45403470770645465,0.006721649823360666,0.5,nndsvdar,1.0,40
dataset_name,RF,LCB,20,7.217326879501343,0.5396976459946762,0.5396976459946762,0.0,0.75,random,0.75,40
dataset_name,RF,LCB,21,152.08296704292297,0.7451025737435979,0.745735468736077,0.004684606575292814,0.25,nndsvd,0.0,40
dataset_name,RF,LCB,22,75.07298636436462,0.5682451538280444,0.5681064851588801,0.00018842078504407588,0.75,nndsvd,0.25,40
dataset_name,RF,LCB,23,253.27339100837708,0.7478436157657145,0.7462244434199802,0.007003992194189941,0.5,nndsvdar,0.0,40
dataset_name,RF,LCB,24,205.93190574645996,0.3701150563040464,0.3695117084814007,0.0037481909028235427,1.0,nndsvda,1.0,40
dataset_name,RF,LCB,25,75.82561755180359,0.5358331465721974,0.5358331465721974,0.0,0.75,nndsvda,0.75,40
dataset_name,RF,LCB,26,129.1363377571106,0.733321839301552,0.7320717281883551,0.007792508069608754,0.25,nndsvdar,0.25,40
dataset_name,RF,LCB,27,203.31233882904053,0.7443124032444921,0.7450488579771607,0.007019524680930183,1.0,random,0.0,40
dataset_name,RF,LCB,28,31.181018114089966,0.5396976459946762,0.5396976459946762,0.0,1.0,random,0.5,40
dataset_name,RF,LCB,29,53.188714265823364,0.5358331465721974,0.5358331465721974,0.0,0.75,nndsvda,0.75,40
