,dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),alpha,eta,max_iters,num_topics
0,DBLP,RF,LCB,0,51.61595177650452,0.4740662106907977,0.4734630821072064,0.0042413267563117,0.1,0.05,100,50
6,DBLP,RF,LCB,6,28.447736024856567,0.4708084645555923,0.469910464712597,0.0080200769168193,0.05,0.005,100,20
22,DBLP,RF,LCB,22,49.62382817268372,0.469744706946319,0.4698309519008209,0.0111906526691993,0.1,0.01,100,50
5,DBLP,RF,LCB,5,49.38279151916504,0.4687426204368937,0.4744953587984365,0.0137313043070803,0.01,0.01,100,50
9,DBLP,RF,LCB,9,60.66060853004456,0.4686148598747929,0.467214141440247,0.007166199213059,0.05,0.01,100,70
16,DBLP,RF,LCB,16,28.5495343208313,0.4664669338617334,0.4688788995841986,0.0151186774711544,0.5,0.01,100,20
3,DBLP,RF,LCB,3,28.596842050552368,0.4654782267255428,0.4651887442039149,0.0149450049906717,0.1,0.01,100,20
17,DBLP,RF,LCB,17,51.58824872970581,0.4635588037025461,0.4655140249490052,0.0043925671789444,0.01,0.1,100,50
12,DBLP,RF,LCB,12,48.94815683364868,0.4611352268480047,0.4613022997715396,0.0057366663623695,0.1,0.01,100,50
28,DBLP,RF,LCB,28,30.31951665878296,0.4608991804206005,0.4708491909679407,0.0157891144337002,1.0,0.05,100,20
20,DBLP,RF,LCB,20,28.53196907043457,0.4602132715951363,0.4647641791264927,0.0090221637567197,0.1,0.005,100,20
8,DBLP,RF,LCB,8,28.15534520149231,0.4569548855092761,0.4607641913793316,0.0131833791158932,0.01,0.01,100,20
14,DBLP,RF,LCB,14,81.32627725601196,0.456951828046916,0.4580761119667645,0.0055124515474611,0.05,0.01,100,100
24,DBLP,RF,LCB,24,28.79541063308716,0.4542378156978647,0.4504915115143199,0.0152539676633097,0.5,0.005,100,20
27,DBLP,RF,LCB,27,61.05953288078308,0.4540668208717892,0.4566781981415427,0.0046802027953892,0.1,0.01,100,70
4,DBLP,RF,LCB,4,29.087886333465576,0.4532913589678677,0.4510995515691422,0.01477942068495,0.01,0.05,100,20
23,DBLP,RF,LCB,23,82.81997466087341,0.4528265867243915,0.4520497744980176,0.0047968567948759,0.5,0.05,100,100
29,DBLP,RF,LCB,29,80.19339323043823,0.4444308717199479,0.4485531715474448,0.0083422133879379,0.1,0.01,100,100
13,DBLP,RF,LCB,13,48.12260675430298,0.432199836065366,0.432198831259948,0.004957306319584,0.1,0.001,100,50
25,DBLP,RF,LCB,25,80.71661877632141,0.4300166726988659,0.4264447037143194,0.0062774704181129,0.1,0.005,100,100
1,DBLP,RF,LCB,1,81.25921416282654,0.4251812450472833,0.4262131669535362,0.0031603469840994,0.1,0.005,100,100
15,DBLP,RF,LCB,15,79.88719463348389,0.4202864647283062,0.4261545233221174,0.008626659533519,0.01,0.001,100,100
10,DBLP,RF,LCB,10,61.64885759353638,0.4108994249920621,0.4132553942698734,0.0064912465041428,0.5,0.01,100,70
11,DBLP,RF,LCB,11,28.205671548843384,0.4094328547905097,0.4036949351724945,0.0177414841074498,1.0,0.001,100,20
26,DBLP,RF,LCB,26,80.38013887405396,0.399831655179538,0.4006910613241525,0.0028369719444673,0.05,0.001,100,100
19,DBLP,RF,LCB,19,49.7552969455719,0.3853583538001111,0.3869169580278188,0.0113739587232775,1.0,0.01,100,50
7,DBLP,RF,LCB,7,61.370014667510986,0.3777890644404786,0.3779073163922938,0.0095641487290881,0.5,0.005,100,70
2,DBLP,RF,LCB,2,86.55605864524841,0.3230094649076342,0.3231765609306963,0.0041567500448947,1.0,0.1,100,100
18,DBLP,RF,LCB,18,83.33782577514648,0.321526655759733,0.3213256103552127,0.0068617578227904,1.0,0.01,100,100
21,DBLP,RF,LCB,21,62.58972978591919,0.2960853629179253,0.2966352579244441,0.0073804296249544,1.0,0.001,100,70
