dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),alpha,eta,n_iter,n_topics
DBPedia_IT,RF,LCB,0,38.30157113075256,0.6754365278886215,0.6787667986472607,0.01346573624884408,0.1,0.05,100,50
DBPedia_IT,RF,LCB,1,70.11655640602112,0.5962505595047719,0.5951453341048609,0.00661406325486439,0.1,0.005,100,100
DBPedia_IT,RF,LCB,2,70.59201622009277,0.5557639447373814,0.5565453004394165,0.0048033834508498605,1.0,0.1,100,100
DBPedia_IT,RF,LCB,3,21.1041316986084,0.6455826282968966,0.6555518592594509,0.025531881928053505,0.1,0.01,100,20
DBPedia_IT,RF,LCB,4,20.86245846748352,0.6904390550913527,0.6769225587170195,0.028410213106114697,0.01,0.05,100,20
DBPedia_IT,RF,LCB,5,37.58955240249634,0.6669474966152376,0.6698560672783974,0.011563451577072986,0.01,0.01,100,50
DBPedia_IT,RF,LCB,6,21.22554349899292,0.6668742986543134,0.670110001692327,0.020469325336425873,0.05,0.005,100,20
DBPedia_IT,RF,LCB,7,21.360750436782837,0.677423871326611,0.6822607963687914,0.018897113128558796,0.5,0.1,100,20
DBPedia_IT,RF,LCB,8,75.03608989715576,0.4295223890410298,0.4287707423266208,0.0021626481362882442,0.5,0.001,100,100
DBPedia_IT,RF,LCB,9,50.83848166465759,0.6349794506358949,0.6378169300072595,0.013239745185328554,0.05,0.01,100,70
DBPedia_IT,RF,LCB,10,38.48521876335144,0.6144909714311483,0.6201978963921534,0.012162265659016094,0.05,0.005,100,50
DBPedia_IT,RF,LCB,11,50.60188293457031,0.5867029233623761,0.5872074020280943,0.013074516453101252,0.01,0.001,100,70
DBPedia_IT,RF,LCB,12,21.510390043258667,0.6717216648611088,0.6660527344495216,0.014655282046798392,1.0,0.05,100,20
DBPedia_IT,RF,LCB,13,49.5048451423645,0.6787750632423898,0.6778757110806632,0.015500922965610396,0.01,0.05,100,70
DBPedia_IT,RF,LCB,14,67.28772807121277,0.6739596047140539,0.6733058320099555,0.003486406997967037,0.01,0.05,100,100
DBPedia_IT,RF,LCB,15,68.89650225639343,0.5716040893278387,0.5779534075003067,0.012948891105094944,0.01,0.001,100,100
DBPedia_IT,RF,LCB,16,21.477523803710938,0.6438179351140495,0.6385423190646814,0.01794110257245397,0.5,0.01,100,20
DBPedia_IT,RF,LCB,17,72.62449288368225,0.6205734040097967,0.6201146883715369,0.004945970566903181,0.5,0.05,100,100
DBPedia_IT,RF,LCB,18,21.06479239463806,0.6380434692695768,0.6411107888476494,0.018283571067001802,0.01,0.001,100,20
DBPedia_IT,RF,LCB,19,38.11342644691467,0.684127066535043,0.6826810270056568,0.010387835732508415,0.05,0.05,100,50
DBPedia_IT,RF,LCB,20,49.90969491004944,0.6557373082071091,0.654596175061025,0.01608631104549615,0.01,0.01,100,70
DBPedia_IT,RF,LCB,21,70.84770774841309,0.602296260570759,0.6038597416798568,0.005451327456773198,0.5,0.1,100,100
DBPedia_IT,RF,LCB,22,38.60610556602478,0.5830035569092595,0.5839262554709445,0.006779795032231023,0.05,0.001,100,50
DBPedia_IT,RF,LCB,23,50.76486325263977,0.6408712532720191,0.6403091017354394,0.010596413284110703,0.05,0.01,100,70
DBPedia_IT,RF,LCB,24,38.61161684989929,0.5821618102847482,0.586620114977183,0.010238129323923552,0.05,0.001,100,50
DBPedia_IT,RF,LCB,25,20.965375661849976,0.6785222233747373,0.6788823889424858,0.023448449105427406,0.05,0.01,100,20
DBPedia_IT,RF,LCB,26,73.54398941993713,0.5488061151345331,0.5533347818106386,0.008313017192563324,0.5,0.01,100,100
DBPedia_IT,RF,LCB,27,68.16116714477539,0.6634995370136,0.6649354496989394,0.007072562383058385,0.05,0.05,100,100
DBPedia_IT,RF,LCB,28,49.933650493621826,0.5985906324700043,0.593028502274034,0.013629479756093446,0.01,0.001,100,70
DBPedia_IT,RF,LCB,29,19.999650239944458,0.6842220538083292,0.6836256246644916,0.03651130024396319,0.05,0.05,100,20
