dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),alpha,eta,max_iters,num_topics
DBPedia_IT,RF,LCB,0,11.427320718765259,0.6711486284658948,0.6782838346573727,0.016495143589333648,0.1,0.05,100,50
DBPedia_IT,RF,LCB,1,21.47391176223755,0.5926846069229679,0.5914749550964994,0.008288848153991947,0.1,0.005,100,100
DBPedia_IT,RF,LCB,2,21.451537609100342,0.5908492007639581,0.5846803763094078,0.01409838490480583,1.0,0.1,100,100
DBPedia_IT,RF,LCB,3,6.453076362609863,0.6557889750291926,0.6621533814694749,0.024366563025868343,0.1,0.01,100,20
DBPedia_IT,RF,LCB,4,6.391021966934204,0.7029141908364218,0.7035642421379593,0.010368070689224186,0.01,0.05,100,20
DBPedia_IT,RF,LCB,5,11.35521149635315,0.6517725137519937,0.6524660328062628,0.013550869214956945,0.01,0.01,100,50
DBPedia_IT,RF,LCB,6,6.496106147766113,0.6596735151811911,0.6583669352753297,0.01653272184823999,0.05,0.005,100,20
DBPedia_IT,RF,LCB,7,6.469886779785156,0.6967792177950285,0.695388797149354,0.03224140846834975,0.5,0.1,100,20
DBPedia_IT,RF,LCB,8,6.515634536743164,0.6836938092029498,0.6758404554863163,0.028721476410860237,0.01,0.005,100,20
DBPedia_IT,RF,LCB,9,6.598071813583374,0.5995207863637182,0.6048069978555746,0.012182799009918022,0.01,0.001,100,20
DBPedia_IT,RF,LCB,10,6.553375482559204,0.707543815014272,0.6983140981902636,0.024811418035650873,0.01,0.1,100,20
DBPedia_IT,RF,LCB,11,6.582693338394165,0.6764080481242133,0.6669950046627476,0.02664983146906524,0.1,0.01,100,20
DBPedia_IT,RF,LCB,12,11.37163496017456,0.6632520249200268,0.6593974883893106,0.020291949840598907,0.5,0.1,100,50
DBPedia_IT,RF,LCB,13,6.621887445449829,0.6621329052450126,0.658198767940427,0.011526960382055286,0.5,0.01,100,20
DBPedia_IT,RF,LCB,14,11.43616271018982,0.6591513182696654,0.6571373852497059,0.0040450380089731485,1.0,0.05,100,50
DBPedia_IT,RF,LCB,15,11.3655846118927,0.6442576662356895,0.6421836903392963,0.012587968147816148,0.05,0.01,100,50
DBPedia_IT,RF,LCB,16,21.103646993637085,0.6059800069149134,0.6112435608177418,0.0119947845759379,1.0,0.05,100,100
DBPedia_IT,RF,LCB,17,16.162163257598877,0.582819131436052,0.5837295932819938,0.01137340080260921,0.5,0.005,100,70
DBPedia_IT,RF,LCB,18,12.134696245193481,0.6015758070940248,0.5972053437601567,0.009352013458312342,1.0,0.005,100,50
DBPedia_IT,RF,LCB,19,11.398768901824951,0.6509000295358588,0.6534093962514194,0.015234655426024264,0.01,0.01,100,50
DBPedia_IT,RF,LCB,20,11.228901863098145,0.6616888942417232,0.6639244945888008,0.015446574801229995,0.01,0.05,100,50
DBPedia_IT,RF,LCB,21,24.490365266799927,0.45833561023599934,0.46246747312586295,0.008863650279734953,0.5,0.001,100,100
DBPedia_IT,RF,LCB,22,21.652096271514893,0.5904425473129341,0.5915975299571469,0.013991028250572917,1.0,0.01,100,100
DBPedia_IT,RF,LCB,23,16.346375465393066,0.5449484208198881,0.5418655533986799,0.010715706017937207,0.01,0.001,100,70
DBPedia_IT,RF,LCB,24,11.752063751220703,0.6152876491080469,0.6138332788838803,0.010689836382235402,0.01,0.005,100,50
DBPedia_IT,RF,LCB,25,21.333166122436523,0.614929830952126,0.6109801307792864,0.011135328011970855,1.0,0.05,100,100
DBPedia_IT,RF,LCB,26,12.716580152511597,0.49400097090897965,0.503720924058804,0.017836034679706986,0.5,0.001,100,50
DBPedia_IT,RF,LCB,27,11.182096242904663,0.6939099897891129,0.6858491861123113,0.023718067268608686,0.01,0.05,100,50
DBPedia_IT,RF,LCB,28,20.98001980781555,0.596794491791653,0.5974540389888918,0.01028068624663924,0.5,0.1,100,100
DBPedia_IT,RF,LCB,29,6.715846538543701,0.5970215656978446,0.6019320903217137,0.008439325963676296,0.05,0.001,100,20
