dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),alpha,init,num_topics
DBPedia_IT,RF,LCB,0,7.4749755859375,0.4797431332151604,0.48189904339379935,0.005720106529727743,0.5,nndsvdar,100
DBPedia_IT,RF,LCB,1,7.270434856414795,0.5320985492169251,0.5332326326931691,0.002835400099025129,0.5,nndsvda,100
DBPedia_IT,RF,LCB,2,7.376389741897583,0.48280968599676255,0.48609149727240536,0.009964224540281527,1.0,nndsvdar,100
DBPedia_IT,RF,LCB,3,3.8204503059387207,0.5097725674563147,0.5090423728115736,0.0043772843299276715,0.75,nndsvdar,50
DBPedia_IT,RF,LCB,4,2.1333932876586914,0.5210251301242386,0.5207162849249618,0.005945046356007816,0.5,nndsvda,20
DBPedia_IT,RF,LCB,5,5.2044243812561035,0.7758214411181346,0.7841661970721527,0.01240598405210314,0.0,nndsvdar,20
DBPedia_IT,RF,LCB,6,20.119675397872925,0.7233091714259219,0.7196309761586879,0.008116217675635019,0.0,nndsvda,50
DBPedia_IT,RF,LCB,7,2.139334201812744,0.5167210618821254,0.517906494191718,0.0022570475887831645,0.75,nndsvda,20
DBPedia_IT,RF,LCB,8,2.2646443843841553,0.5150341718820449,0.5139636801885192,0.0037437488572494067,0.25,nndsvdar,20
DBPedia_IT,RF,LCB,9,5.611561298370361,0.7721936674123182,0.7650387149358862,0.013075585659565415,0.0,nndsvda,20
DBPedia_IT,RF,LCB,10,4.829472780227661,0.7758214411181346,0.7750809843218883,0.0011456239757971377,0.0,nndsvda,20
DBPedia_IT,RF,LCB,11,5.066807746887207,0.4921187143783595,0.48915225857958866,0.006592754457405269,0.75,nndsvdar,70
DBPedia_IT,RF,LCB,12,5.176064729690552,0.49973483082629166,0.4962586921238068,0.005495230899507626,1.0,nndsvda,70
DBPedia_IT,RF,LCB,13,2.1976256370544434,0.5144213529151253,0.5152940094967076,0.005332482607955653,1.0,nndsvda,20
DBPedia_IT,RF,LCB,14,5.118321418762207,0.4899843198839677,0.49058389806094366,0.003046911512843026,1.0,nndsvdar,70
DBPedia_IT,RF,LCB,15,2.222196578979492,0.5127269278634521,0.5092655072477834,0.006433083276241371,1.0,nndsvdar,20
DBPedia_IT,RF,LCB,16,7.2581892013549805,0.4968800354306772,0.49511776451860035,0.007529375981135461,0.25,nndsvdar,100
DBPedia_IT,RF,LCB,17,7.230366230010986,0.48612150429257395,0.48277789900387374,0.01054907373666269,1.0,nndsvdar,100
DBPedia_IT,RF,LCB,18,7.174980401992798,0.5222985293263156,0.5203182855879194,0.005998912331733244,0.75,nndsvda,100
DBPedia_IT,RF,LCB,19,3.749821424484253,0.5104235904366352,0.5099574773749259,0.007108548826446392,0.25,nndsvdar,50
DBPedia_IT,RF,LCB,20,5.116736650466919,0.4887478468338329,0.48823827871082026,0.003922578358833615,0.5,nndsvdar,70
DBPedia_IT,RF,LCB,21,7.347810745239258,0.5313596140225588,0.5323278593629341,0.0038433074689717913,0.5,nndsvda,100
DBPedia_IT,RF,LCB,22,5.021797180175781,0.48688956538574146,0.4883821375489144,0.0036131206855422268,0.25,nndsvdar,70
DBPedia_IT,RF,LCB,23,7.217313051223755,0.52702469062157,0.5263592320524915,0.003519037012696073,0.75,nndsvda,100
DBPedia_IT,RF,LCB,24,7.213433742523193,0.5334355827642497,0.5356561977764773,0.006647685215342036,1.0,nndsvda,100
DBPedia_IT,RF,LCB,25,4.764894008636475,0.7721936674123182,0.7722666976270125,0.003841155522935237,0.0,nndsvdar,20
DBPedia_IT,RF,LCB,26,78.81333231925964,0.6273027431300109,0.6276841918877453,0.006926874238143322,0.0,nndsvdar,100
DBPedia_IT,RF,LCB,27,37.98362731933594,0.6803428417001248,0.6821581493805086,0.008949649844164053,0.0,nndsvdar,70
DBPedia_IT,RF,LCB,28,3.774211883544922,0.5197338992427579,0.5231578221260713,0.006596562812224048,1.0,nndsvda,50
DBPedia_IT,RF,LCB,29,38.860496520996094,0.6737904683630436,0.6747787236065017,0.005850156002617311,0.0,nndsvdar,70
