dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),alpha,eta,num_topics
dataset_name,RF,LCB,0,53.41697072982788,0.4260810733450851,0.4237566129668232,0.004591200739207245,2.43075056778473,3.4288758752376007,50
dataset_name,RF,LCB,1,42.69277739524841,0.42040975381635004,0.42241224366460256,0.004187809872873006,2.964630246506867,1.919865564777205,36
dataset_name,RF,LCB,2,116.09087300300598,0.4226343401802987,0.42426106890582665,0.0031650092215473598,1.5609810737941214,4.030281435360805,50
dataset_name,RF,LCB,3,164.21969509124756,0.4227287412440536,0.42113234298657415,0.006910993747927758,3.15074031256851,2.52010411806749,28
dataset_name,RF,LCB,4,146.0461061000824,0.42641532685224137,0.4293811600554604,0.00639581707465428,1.811230738050763,3.659155435378754,21
dataset_name,RF,LCB,5,202.26803398132324,0.42487569350073634,0.4254636415846124,0.004266010185364053,4.272500287244382,2.260168803837091,47
dataset_name,RF,LCB,6,216.36745190620422,0.430444760083108,0.43085559914105487,0.006501964543292403,0.8032969880993459,2.6871736829430946,35
dataset_name,RF,LCB,7,237.8581666946411,0.44360837510827805,0.4420188877242116,0.007386689774001257,0.5685469483407722,3.8581462164151117,29
dataset_name,RF,LCB,8,199.1104712486267,0.4307326512200902,0.43137460037956404,0.007653764373408918,1.623008321767718,4.889871725341566,26
dataset_name,RF,LCB,9,258.92906975746155,0.43242536232112644,0.43366757130635375,0.003899823677247634,0.9826739798421845,4.494884295687933,24
dataset_name,RF,LCB,10,271.28563380241394,0.4255032469228187,0.42574890473030214,0.0045390879620186945,0.8381453940316326,3.989196816674312,32
dataset_name,RF,LCB,11,254.29570746421814,0.42761703532706896,0.43077857457523105,0.005555985650658261,1.1521188445377974,4.271783839414214,30
dataset_name,RF,LCB,12,226.6243371963501,0.4374260215616555,0.4425831303238873,0.01021630797702863,0.14839960110118758,3.801454838037158,24
dataset_name,RF,LCB,13,448.6985170841217,0.4439703805112632,0.4389163936675174,0.009666242831584097,0.011603472781525185,0.3235688350873547,28
dataset_name,RF,LCB,14,278.6472361087799,0.44226350683158555,0.4433575159041171,0.008891609665110477,0.3056951713189783,1.0806399692383655,47
dataset_name,RF,LCB,15,73.07853674888611,0.43626955240207566,0.4338604933657006,0.0059331051524586925,0.6137603019560729,0.867332527210052,44
dataset_name,RF,LCB,16,61.25602197647095,0.4390699252730751,0.4373912967651858,0.005116286974907022,0.6739110789003318,3.172698307620261,46
dataset_name,RF,LCB,17,47.27334260940552,0.43164291137838556,0.43410791926719117,0.007972353196938687,0.7336365473943054,1.6337970699520945,36
dataset_name,RF,LCB,18,57.309560775756836,0.4381500469893529,0.4368897245772952,0.006069127836232679,0.683577537451907,1.878680910193692,44
dataset_name,RF,LCB,19,57.26187515258789,0.43601102765914956,0.436681101917854,0.003206062597802616,0.7061961564888287,0.8966286311201844,44
dataset_name,RF,LCB,20,38.75803780555725,0.4416860382311412,0.4419783613085867,0.00487703238748922,0.31024029009015797,1.1076705097082005,28
dataset_name,RF,LCB,21,29.374934911727905,0.44079078111807246,0.4444350238431977,0.010705829881231328,0.2746689840797806,0.9161703422524918,21
dataset_name,RF,LCB,22,44.196855545043945,0.42894107360211586,0.4299061286946757,0.00895798330018199,0.7152879613326268,1.213036859818974,33
dataset_name,RF,LCB,23,36.74490237236023,0.43759447903076876,0.43811281403718716,0.0063292878757042325,0.7028244634698054,1.092550312522589,26
dataset_name,RF,LCB,24,45.45067381858826,0.44349597974978994,0.43866525006363466,0.008433408009252396,0.442158934352676,0.60576834966741,33
dataset_name,RF,LCB,25,158.64256525039673,0.4316092494103887,0.4363362069734199,0.009070101703467112,0.5062139061798461,0.3724152487785273,33
dataset_name,RF,LCB,26,182.28140115737915,0.4375302321723893,0.43588294275810624,0.01015044402128787,0.4282516388321053,0.02549637836665691,31
dataset_name,RF,LCB,27,46.24177861213684,0.4392382869412205,0.4401501773843096,0.005233640433718115,0.4634867419255406,0.2240869841755399,29
dataset_name,RF,LCB,28,44.183156967163086,0.4382626270099143,0.4392476614681889,0.001741890807124628,0.335079880157348,0.46755752127926115,33
dataset_name,RF,LCB,29,44.55621099472046,0.43901497392430205,0.43903839393903166,0.007961560314576711,0.1486044402392489,0.584851264734065,33
